Sin título1.acq
Gráfico creado el:2026-06-19 15:39:43.750
Registro en:2026-06-19 17:09:16.427
1 mseg/muestras
2 canales
ECG (.05 - 150 Hz)
mV
EEG (.5 - 100 Hz, con Filtro Red) 
micro V
min	CH1	CH2	
	144925 samples	144925 samples	
0	0.184631	21.4081	
1.66667E-05	0.170593	30.5786	
3.33333E-05	0.1651	45.9442	
5E-05	0.171204	57.1289	
6.66667E-05	0.180664	63.7512	
8.33333E-05	0.193176	61.3556	
0.0001	0.204468	49.8657	
0.000116667	0.217285	38.2385	
0.000133333	0.231628	38.3911	
0.00015	0.244751	44.1132	
0.000166667	0.252075	49.1028	
0.000183333	0.250244	55.2368	
0.0002	0.244446	60.7452	
0.000216667	0.242615	62.3016	
0.000233333	0.245667	58.548	
0.00025	0.249329	48.4161	
0.000266667	0.24353	36.7126	
0.000283333	0.231934	36.3159	
0.0003	0.215149	46.1121	
0.000316667	0.202332	57.3578	
0.000333333	0.201111	65.7196	
0.00035	0.214539	67.8711	
0.000366667	0.234375	58.7921	
0.000383333	0.246887	42.8925	
0.0004	0.263672	30.777	
0.000416667	0.284119	33.432	
0.000433333	0.302124	40.4205	
0.00045	0.315857	47.1954	
0.000466667	0.321655	53.9398	
0.000483333	0.318298	58.0292	
0.0005	0.3125	57.9987	
0.000516667	0.305176	51.8951	
0.000533333	0.29541	39.0015	
0.00055	0.284729	28.595	
0.000566667	0.2771	31.9672	
0.000583333	0.270996	43.3655	
0.0006	0.267029	51.6968	
0.000616667	0.26947	54.0924	
0.000633333	0.279236	50.4608	
0.00065	0.293274	39.032	
0.000666667	0.30426	28.1677	
0.000683333	0.302124	27.2064	
0.0007	0.298157	34.8053	
0.000716667	0.298157	40.5579	
0.000733333	0.298767	44.1284	
0.00075	0.304565	48.4009	
0.000766667	0.30426	52.9175	
0.000783333	0.296021	54.0009	
0.0008	0.285034	45.9442	
0.000816667	0.271301	31.1432	
0.000833333	0.255432	25.6042	
0.00085	0.239258	36.3007	
0.000866667	0.230713	49.408	
0.000883333	0.227051	58.0902	
0.0009	0.235596	60.5621	
0.000916667	0.249023	54.9622	
0.000933333	0.263977	41.3361	
0.00095	0.276794	28.6713	
0.000966667	0.28595	28.9154	
0.000983333	0.294189	33.5083	
